Year,50th and First BikeCount/Day September,50th and Madison BikeCount/Day September,50th and Broadway BikeCount/Day September,50th and Hudson BikeCount/Day September,Total 50th ave BikeCount/Day September
2006,632,1018,1144,1958,15597
2007,395,1129,873,2963,13688
2008,379,739,536,3597,13978
2009,677,979,894,5440,18968
2010,938,1061,1206,5629,21882
2011,1062,831,1238,5676,21379
2012,935,907,748,4622,18231
2013,1742,972,965,5308,20636
2014,1128,1362,1088,5841,23786
2015,1707,1075,1104,5429,25145
2016,2201,1366,1240,6476,28786
